record_id,test_date,plant_name,vehicle_model,supplier_id,supplier_name,supplier_batch_id,part_name,part_category,market_price_inr,open_market_price_range_inr,qty_inspected,qty_defective,ppm,otd_pct,audit_score_pct,cpk,belt_tension_dev_ratio,slip_ratio,crack_density_per_100mm,pressure_retention_ratio,hose_leak_rate_ml_min,engine_temp_dev_ratio,filter_pressure_drop_pa_ratio,filtration_efficiency,fuel_penalty_ratio,brake_leak_rate_cc_min,pushrod_stroke_excess_ratio,brake_response_lag_s_ratio,relay_brake_lag_s_ratio,relay_pressure_delivery_ratio,relay_leak_rate_cc_min,pulse_integrity_ratio,speed_deviation_ratio,dropout_count_ratio,bearing_temp_rise_c_ratio,bearing_vibration_rms_ratio,bearing_play_mm_ratio,ujoint_vibration_rms_ratio,ujoint_backlash_mm_ratio,ujoint_temp_rise_c_ratio,downstream_water_ppm_ratio,separator_dp_kpa_ratio,service_compliance_ratio,data_source_type,impact_raw,criticality_weight_0_1,min_required_sqm_0_1,importance_band,part_quality_score_recomputed_0_1,supplier_quality_score_recomputed_0_1,sqm_gap_to_target_0_1,part_gap_to_target_0_1,weighted_loss_priority_0_1,sqm_status,action_priority,risk_label_current_scenario,dataset_note_current_scenario
118,16-08-2025,Chennai Plant,Bus Chassis 1624,SUP-BETA,Beta Truck Systems,SUP-BETA-RAD-1140,Radiator Hose,Fluid,377.38,90-400,82,0,4441,94.57,89.33,1.287,,,,0.8607,4.33,0.1328,,,,,,,,,,,,,,,,,,,,,,Incoming QC,9,0.95,0.95,Very High,0.83,0.83,-0.12,-0.12,0.13,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
119,21-02-2025,Jamshedpur Plant,Cargo 1916,SUP-DELTA,Delta Fleet Components,SUP-DELTA-RAD-7787,Radiator Hose,Fluid,312.47,90-400,66,0,3833,92.06,91.45,1.237,,,,0.86,6.274,0.2278,,,,,,,,,,,,,,,,,,,,,,Incoming QC,9,0.95,0.95,Very High,0.78,0.82,-0.13,-0.17,0.12,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
120,23-03-2026,Jamshedpur Plant,Cargo 1916,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-RAD-6291,Radiator Hose,Fluid,339.86,90-400,280,1,3784,85.43,92.08,1.386,,,,0.9088,2.066,0.2046,,,,,,,,,,,,,,,,,,,,,,Bench Test,9,0.95,0.95,Very High,0.87,0.85,-0.1,-0.08,0.11,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
121,28-04-2025,Pune Plant,Rigid Truck 2818,SUP-DELTA,Delta Fleet Components,SUP-DELTA-RAD-7295,Radiator Hose,Fluid,201.84,90-400,253,1,2425,100,96.62,1.355,,,,0.9574,1.816,0.0706,,,,,,,,,,,,,,,,,,,,,,Bench Test,9,0.95,0.95,Very High,0.93,0.93,-0.02,-0.02,0.03,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
122,19-01-2025,Pune Plant,Bus Chassis 1624,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-RAD-1482,Radiator Hose,Fluid,230.05,90-400,139,0,3375,100,87.36,1.475,,,,0.8746,3.783,0.1256,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.85,0.87,-0.08,-0.1,0.08,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
123,20-10-2025,Chennai Plant,School Bus 1017,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-RAD-9632,Radiator Hose,Fluid,285.92,90-400,182,1,4267,87.97,82.49,1.168,,,,0.8841,4.897,0.3551,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.78,0.79,-0.16,-0.17,0.14,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
124,19-11-2025,Jamshedpur Plant,Bus Chassis 1624,SUP-BETA,Beta Truck Systems,SUP-BETA-RAD-6101,Radiator Hose,Fluid,174.99,90-400,81,0,855,100,90.74,1.549,,,,1,1.636,0.1165,,,,,,,,,,,,,,,,,,,,,,Incoming QC,9,0.95,0.95,Very High,0.94,0.95,0,-0.01,0.01,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
125,19-12-2025,Jamshedpur Plant,School Bus 1017,SUP-DELTA,Delta Fleet Components,SUP-DELTA-RAD-4610,Radiator Hose,Fluid,338.11,90-400,109,1,5774,88.99,85.89,1.25,,,,0.8563,5.306,0.1627,,,,,,,,,,,,,,,,,,,,,,Dealer Service,9,0.95,0.95,Very High,0.81,0.78,-0.17,-0.14,0.16,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
126,27-10-2025,Jamshedpur Plant,Bus Chassis 1624,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-RAD-1661,Radiator Hose,Fluid,234.21,90-400,97,0,1537,100,91.1,1.768,,,,1,0.628,0.0418,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.98,0.95,0,0.03,0.02,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
127,07-11-2025,Jamshedpur Plant,Tipper 3523,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-RAD-7770,Radiator Hose,Fluid,127.15,90-400,247,0,768,88.32,82.82,1.195,,,,0.9048,1.467,0.1631,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.89,0.89,-0.06,-0.06,0.05,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
128,01-05-2025,Jamshedpur Plant,Bus Chassis 1624,SUP-BETA,Beta Truck Systems,SUP-BETA-RAD-3785,Radiator Hose,Fluid,278.63,90-400,188,1,3128,94.25,90.31,1.505,,,,0.9346,1.481,0.0709,,,,,,,,,,,,,,,,,,,,,,Dealer Service,9,0.95,0.95,Very High,0.93,0.89,-0.06,-0.02,0.07,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
129,27-12-2025,Chennai Plant,Tipper 3523,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-RAD-4267,Radiator Hose,Fluid,228.63,90-400,297,1,2289,92.73,91.92,1.252,,,,0.7813,6.095,0.1299,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.77,0.86,-0.09,-0.18,0.08,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
130,12-11-2025,Bangalore Plant,Tipper 3523,SUP-BETA,Beta Truck Systems,SUP-BETA-RAD-8629,Radiator Hose,Fluid,284.66,90-400,140,0,3524,96.29,79.05,1.584,,,,0.8162,2.886,0.137,,,,,,,,,,,,,,,,,,,,,,Dealer Service,9,0.95,0.95,Very High,0.83,0.85,-0.1,-0.12,0.1,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
131,09-02-2026,Pune Plant,Bus Chassis 1624,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-RAD-6656,Radiator Hose,Fluid,288.7,90-400,202,1,3684,94.41,81.38,1.339,,,,0.8507,5.12,0.2181,,,,,,,,,,,,,,,,,,,,,,Incoming QC,9,0.95,0.95,Very High,0.79,0.83,-0.12,-0.16,0.11,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
132,17-11-2025,Pune Plant,Bus Chassis 1624,SUP-BETA,Beta Truck Systems,SUP-BETA-RAD-3964,Radiator Hose,Fluid,127.75,90-400,149,0,0,98.97,95.36,1.582,,,,1,0.748,0.0396,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.98,0.99,0.04,0.03,0,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
133,15-10-2025,Jamshedpur Plant,Tipper 3523,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-RAD-3719,Radiator Hose,Fluid,122.76,90-400,167,0,2007,88.13,91.55,1.162,,,,0.9632,1.179,0.0874,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.94,0.89,-0.06,-0.01,0.05,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
134,14-05-2026,Jamshedpur Plant,Rigid Truck 2818,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-RAD-6448,Radiator Hose,Fluid,394.94,90-400,44,0,5020,89.52,93.88,1.317,,,,0.8137,6.957,0.188,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.75,0.8,-0.15,-0.2,0.15,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
135,07-04-2025,Jamshedpur Plant,School Bus 1017,SUP-BETA,Beta Truck Systems,SUP-BETA-RAD-1419,Radiator Hose,Fluid,143.86,90-400,299,0,514,90.25,98.35,1.404,,,,0.9041,1.999,0.0837,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.9,0.94,-0.01,-0.05,0.01,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
136,07-01-2025,Jamshedpur Plant,Cargo 1916,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-RAD-5481,Radiator Hose,Fluid,93.42,90-400,194,1,3890,97.37,84.23,1.428,,,,0.8821,3.164,0.2128,,,,,,,,,,,,,,,,,,,,,,Incoming QC,9,0.95,0.95,Very High,0.84,0.85,-0.1,-0.11,0.07,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
137,16-04-2026,Bangalore Plant,Cargo 1916,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-RAD-1671,Radiator Hose,Fluid,110.03,90-400,104,0,2616,100,93.79,1.392,,,,0.9891,1.157,0.0311,,,,,,,,,,,,,,,,,,,,,,Dealer Service,9,0.95,0.95,Very High,0.97,0.93,-0.02,0.02,0.02,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
138,04-11-2025,Jamshedpur Plant,Bus Chassis 1624,SUP-DELTA,Delta Fleet Components,SUP-DELTA-RAD-5839,Radiator Hose,Fluid,318.58,90-400,295,2,6744,90.96,80.16,1.262,,,,0.7956,6.719,0.2708,,,,,,,,,,,,,,,,,,,,,,Bench Test,9,0.95,0.95,Very High,0.73,0.74,-0.21,-0.22,0.18,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
139,11-02-2025,Jamshedpur Plant,Rigid Truck 2818,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-RAD-4897,Radiator Hose,Fluid,350.67,90-400,152,1,4479,98.94,82.45,1.192,,,,0.8578,2.936,0.2398,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.83,0.82,-0.13,-0.12,0.13,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
140,21-09-2025,Jamshedpur Plant,Bus Chassis 1624,SUP-DELTA,Delta Fleet Components,SUP-DELTA-RAD-8083,Radiator Hose,Fluid,136.55,90-400,253,1,3516,100,100,1.474,,,,0.8895,2.359,0.1311,,,,,,,,,,,,,,,,,,,,,,Dealer Service,9,0.95,0.95,Very High,0.88,0.9,-0.05,-0.07,0.04,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
141,12-02-2026,Chennai Plant,Cargo 1916,SUP-DELTA,Delta Fleet Components,SUP-DELTA-RAD-5531,Radiator Hose,Fluid,397.39,90-400,191,0,2580,95.14,88.88,1.35,,,,0.798,3.607,0.1564,,,,,,,,,,,,,,,,,,,,,,Bench Test,9,0.95,0.95,Very High,0.81,0.87,-0.08,-0.14,0.1,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
142,18-09-2025,Chennai Plant,Cargo 1916,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-RAD-2827,Radiator Hose,Fluid,153.76,90-400,47,0,3378,96.85,82.45,1.169,,,,0.9288,5.221,0.2864,,,,,,,,,,,,,,,,,,,,,,Incoming QC,9,0.95,0.95,Very High,0.81,0.83,-0.12,-0.14,0.09,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
143,09-07-2025,Pune Plant,Rigid Truck 2818,SUP-BETA,Beta Truck Systems,SUP-BETA-RAD-9714,Radiator Hose,Fluid,293.51,90-400,294,1,4330,100,100,1.574,,,,0.9647,1.131,0.0553,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.95,0.9,-0.05,0,0.06,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
144,03-05-2026,Bangalore Plant,Bus Chassis 1624,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-RAD-1685,Radiator Hose,Fluid,299.55,90-400,163,1,4116,86.36,84.87,1.379,,,,0.8464,2.384,0.3372,,,,,,,,,,,,,,,,,,,,,,Warranty Record,9,0.95,0.95,Very High,0.81,0.82,-0.13,-0.14,0.12,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
145,08-02-2025,Bangalore Plant,Cargo 1916,SUP-DELTA,Delta Fleet Components,SUP-DELTA-TRU-9789,Truck Air Filter,Electrical/Airflow,302.69,149-1000,272,1,4737,100,92.88,1.42,,,,,,,0.2467,0.99553,0.099,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.83,0.85,0.05,0.03,0.03,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
146,15-09-2025,Bangalore Plant,Rigid Truck 2818,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-TRU-9652,Truck Air Filter,Electrical/Airflow,277.23,149-1000,68,0,1164,95.31,98.96,1.545,,,,,,,0.0428,0.99987,0.0482,,,,,,,,,,,,,,,,,,,Warranty Record,7.5,0.8,0.8,Moderate,0.97,0.96,0.16,0.17,0.03,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
147,28-04-2025,Chennai Plant,Tipper 3523,SUP-DELTA,Delta Fleet Components,SUP-DELTA-TRU-7272,Truck Air Filter,Electrical/Airflow,623.89,149-1000,58,0,2850,100,97.47,1.382,,,,,,,0.0817,0.9939,0.0762,,,,,,,,,,,,,,,,,,,Incoming QC,7.5,0.8,0.8,Moderate,0.9,0.91,0.11,0.1,0.07,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
148,16-11-2025,Chennai Plant,Rigid Truck 2818,SUP-BETA,Beta Truck Systems,SUP-BETA-TRU-3547,Truck Air Filter,Electrical/Airflow,468.35,149-1000,49,0,2561,96.91,92.48,1.565,,,,,,,0.1975,0.99189,0.2166,,,,,,,,,,,,,,,,,,,Incoming QC,7.5,0.8,0.8,Moderate,0.81,0.88,0.08,0.01,0.05,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
149,07-04-2026,Chennai Plant,School Bus 1017,SUP-BETA,Beta Truck Systems,SUP-BETA-TRU-6189,Truck Air Filter,Electrical/Airflow,865.52,149-1000,53,0,2288,100,98.44,1.608,,,,,,,0.153,0.99677,0.1424,,,,,,,,,,,,,,,,,,,Bench Test,7.5,0.8,0.8,Moderate,0.88,0.92,0.12,0.08,0.11,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
150,20-01-2025,Pune Plant,Cargo 1916,SUP-BETA,Beta Truck Systems,SUP-BETA-TRU-3563,Truck Air Filter,Electrical/Airflow,478.91,149-1000,63,0,747,90.92,86.98,1.335,,,,,,,0.1921,0.98394,0.1882,,,,,,,,,,,,,,,,,,,Bench Test,7.5,0.8,0.8,Moderate,0.76,0.89,0.09,-0.04,0.05,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
151,15-05-2026,Pune Plant,Cargo 1916,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-TRU-4390,Truck Air Filter,Electrical/Airflow,423.11,149-1000,293,1,2403,100,88.69,1.378,,,,,,,0.0937,0.98879,0.045,,,,,,,,,,,,,,,,,,,Incoming QC,7.5,0.8,0.8,Moderate,0.87,0.9,0.1,0.07,0.05,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
152,01-05-2026,Bangalore Plant,Bus Chassis 1624,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-TRU-2169,Truck Air Filter,Electrical/Airflow,428.29,149-1000,156,0,401,97.98,100,1.384,,,,,,,0.06,0.99392,0.0194,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.92,0.97,0.17,0.12,0.05,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
153,09-11-2025,Pune Plant,Tipper 3523,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-TRU-2733,Truck Air Filter,Electrical/Airflow,249.7,149-1000,157,1,3456,89.42,100,1.572,,,,,,,0.2278,0.99258,0.155,,,,,,,,,,,,,,,,,,,Incoming QC,7.5,0.8,0.8,Moderate,0.81,0.86,0.06,0.01,0.02,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
154,18-05-2025,Bangalore Plant,School Bus 1017,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-TRU-9186,Truck Air Filter,Electrical/Airflow,742.72,149-1000,89,0,0,100,91.28,1.731,,,,,,,0.0501,1,0.0767,,,,,,,,,,,,,,,,,,,Incoming QC,7.5,0.8,0.8,Moderate,0.96,0.98,0.18,0.16,0.09,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
155,14-05-2026,Jamshedpur Plant,Bus Chassis 1624,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-TRU-4331,Truck Air Filter,Electrical/Airflow,560.01,149-1000,108,0,1165,91.74,92.15,1.372,,,,,,,0.0988,0.99551,0.2125,,,,,,,,,,,,,,,,,,,Warranty Record,7.5,0.8,0.8,Moderate,0.88,0.92,0.12,0.08,0.06,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
156,10-04-2025,Chennai Plant,Tipper 3523,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-TRU-7868,Truck Air Filter,Electrical/Airflow,550.72,149-1000,221,0,1495,94.93,93.52,1.599,,,,,,,0.0438,0.99345,0.0212,,,,,,,,,,,,,,,,,,,Bench Test,7.5,0.8,0.8,Moderate,0.93,0.93,0.13,0.13,0.06,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
157,12-06-2025,Chennai Plant,Tipper 3523,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-TRU-6347,Truck Air Filter,Electrical/Airflow,282.08,149-1000,259,1,2620,86.96,76.08,1.296,,,,,,,0.1149,0.9889,0.0606,,,,,,,,,,,,,,,,,,,Incoming QC,7.5,0.8,0.8,Moderate,0.85,0.84,0.04,0.05,0.03,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
158,07-01-2025,Bangalore Plant,Rigid Truck 2818,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-TRU-3539,Truck Air Filter,Electrical/Airflow,193.47,149-1000,109,1,7329,88.17,79.63,1.266,,,,,,,0.4709,0.97446,0.323,,,,,,,,,,,,,,,,,,,Warranty Record,7.5,0.8,0.8,Moderate,0.53,0.67,-0.13,-0.27,0.09,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
159,10-03-2025,Chennai Plant,Cargo 1916,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-TRU-7588,Truck Air Filter,Electrical/Airflow,954.93,149-1000,170,0,2864,89.83,94.1,1.256,,,,,,,0.1028,0.9816,0.063,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.81,0.86,0.06,0.01,0.12,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
160,23-11-2025,Jamshedpur Plant,Tipper 3523,SUP-DELTA,Delta Fleet Components,SUP-DELTA-TRU-5624,Truck Air Filter,Electrical/Airflow,751.37,149-1000,125,0,1829,99.25,100,1.378,,,,,,,0.1819,0.98924,0.0746,,,,,,,,,,,,,,,,,,,Incoming QC,7.5,0.8,0.8,Moderate,0.82,0.92,0.12,0.02,0.09,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
161,05-01-2025,Pune Plant,Cargo 1916,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-TRU-9174,Truck Air Filter,Electrical/Airflow,396.29,149-1000,41,0,4184,88.54,94.55,1.609,,,,,,,0.1656,0.98675,0.1764,,,,,,,,,,,,,,,,,,,Warranty Record,7.5,0.8,0.8,Moderate,0.8,0.83,0.03,0,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
162,15-11-2025,Jamshedpur Plant,Cargo 1916,SUP-BETA,Beta Truck Systems,SUP-BETA-TRU-6774,Truck Air Filter,Electrical/Airflow,793,149-1000,88,0,2986,90.4,85.02,1.338,,,,,,,0.1257,0.98154,0.2059,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.77,0.84,0.04,-0.03,0.1,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
163,27-02-2025,Bangalore Plant,Bus Chassis 1624,SUP-DELTA,Delta Fleet Components,SUP-DELTA-TRU-2577,Truck Air Filter,Electrical/Airflow,389.35,149-1000,65,0,394,100,100,1.416,,,,,,,0.1321,0.98636,0.0433,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.83,0.95,0.15,0.03,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
164,27-06-2025,Jamshedpur Plant,Bus Chassis 1624,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-TRU-7710,Truck Air Filter,Electrical/Airflow,689.03,149-1000,236,0,800,90.44,100,1.631,,,,,,,0.0129,1,0.0048,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.99,0.96,0.16,0.19,0.08,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
165,12-11-2025,Bangalore Plant,Rigid Truck 2818,SUP-DELTA,Delta Fleet Components,SUP-DELTA-TRU-1687,Truck Air Filter,Electrical/Airflow,772.47,149-1000,298,1,3009,100,94.89,1.465,,,,,,,0.0708,0.99031,0.0745,,,,,,,,,,,,,,,,,,,Warranty Record,7.5,0.8,0.8,Moderate,0.88,0.9,0.1,0.08,0.09,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
166,01-02-2025,Pune Plant,Cargo 1916,SUP-DELTA,Delta Fleet Components,SUP-DELTA-TRU-4604,Truck Air Filter,Electrical/Airflow,986.48,149-1000,176,1,3047,94.28,99.13,1.404,,,,,,,0.2003,0.99104,0.0916,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.82,0.88,0.08,0.02,0.12,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
167,21-11-2025,Bangalore Plant,Tipper 3523,SUP-BETA,Beta Truck Systems,SUP-BETA-TRU-1264,Truck Air Filter,Electrical/Airflow,435.65,149-1000,64,0,3750,90.58,92.3,1.414,,,,,,,0.255,0.98574,0.1535,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.75,0.83,0.03,-0.05,0.05,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
168,30-01-2026,Chennai Plant,School Bus 1017,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-TRU-7299,Truck Air Filter,Electrical/Airflow,356.93,149-1000,252,1,5455,95.17,82.97,1.336,,,,,,,0.3162,0.98922,0.0768,,,,,,,,,,,,,,,,,,,Dealer Service,7.5,0.8,0.8,Moderate,0.75,0.79,-0.01,-0.05,0.04,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
169,10-02-2025,Pune Plant,Cargo 1916,SUP-BETA,Beta Truck Systems,SUP-BETA-TRU-8950,Truck Air Filter,Electrical/Airflow,550.07,149-1000,114,0,2465,99.92,99.27,1.523,,,,,,,0.1301,0.98508,0.0427,,,,,,,,,,,,,,,,,,,Incoming QC,7.5,0.8,0.8,Moderate,0.82,0.9,0.1,0.02,0.06,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
